Symptoms,frequency,similarity
leukozytopenie,"[0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",
leukoplakie,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
leberzirrhose,"[0, 1, 0, 0, 3, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
low back pain,"[2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",
mass in breast,"[2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 2]",
lungenabszess nnb,"[1, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 1]",
lupusnephritis,"[0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0]",
lymphozytose,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0]",
lymphozytopenie,"[0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0]",
malabsorptionssyndrom,"[2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 3, 1, 0, 2, 3, 1, 0, 0, 0, 0, 1, 0, 0]",
mastoiditis,"[1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",
masern,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
megakolon,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
megaoesophagus,"[2, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
melaena,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
teerstuhl,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
meningismus,"[0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
meningitis,"[0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
meningoenzephalitis,"[1, 0, 0, 0, 3, 0, 1, 1, 3, 0, 0, 1, 1, 3, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",
hypermenorrhoe,"[0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 1, 2, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
metrorrhagie,"[1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
mikrostomie,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
miosis,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
mitralklappenin suffizienz,"[2, 0, 0, 0, 2, 2, 0, 0, 4, 0, 1, 2, 1, 3, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2, 1]",
mitralklappenprolaps,"[3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 3, 1, 1, 1, 4, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
mgus,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
mundatmung,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",
kraempfe,"[1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
muskel kraempfe,"[1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",
muscle hypotonia,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",
spastik,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
muskel atrophie,"[1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",
myopathie,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
mutismus,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",
mykosen,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
mydriasis,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0]",
myokardinfarkt,"[2, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
myokarditis,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
myoclonus,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",
myoglobinurie,"[0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",
myopie,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
myositis,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0]",
myxoedem,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
nasale obstruktion,"[2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1]",
nausea,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
uebelkeit,"[0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
brechreiz,"[0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
nausea and vomiting,"[3, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2]",
nephritis,"[0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
nephrokalzinose,"[1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
nephrotisches syndrom,"[0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 0, 0, 1, 2, 2, 1, 0, 2, 3, 1, 0, 0, 0, 0, 1, 0, 1]",
nervousness,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0]",
neutropenie,"[0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
nachtblindheit,"[1, 1, 1, 1, 1, 0, 0, 2, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
night sweat,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1]",
nacht schweiss,"[1, 0, 2, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 1]",
nightmare,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
numbness,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
nykturie,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",
nystagmus,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0]",
obstruktion,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
oliguria,"[1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
decreased translucency,"[2, 0, 3, 2, 4, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 2, 1, 1, 0, 0, 0, 1, 0, 1]",
augenmuskellaehmung,"[2, 0, 0, 0, 3, 0, 2, 1, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0]",
optikusatrophie,"[1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 2, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
optikusneuritis,"[0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 1, 1, 1, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]",
osteomyelitis,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 1, 1, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0]",
osteoporose,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
otitis,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
otitis media,"[1, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1]",
mittelohrerguss,"[0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0]",
pain,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
schmerzen nnb,"[0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",
pallor,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
blaesse,"[1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
palpitation,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
palpitationen,"[2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
pankarditis,"[2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
pankreasinsuffizienz,"[2, 0, 0, 0, 2, 2, 0, 0, 3, 0, 1, 0, 0, 3, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 2, 0]",
panzytopenie,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",
panic,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
stauungspapille,"[2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",
querschnittslaehmung,"[1, 0, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1, 1, 2, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]",
paresis,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
parese,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
paresthesia,"[2, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
paraesthesie,"[2, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
parotitis,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
paroxysmale vorhoftachykardie,"[4, 0, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 1, 0, 3, 1, 0, 3, 1, 1, 0, 1, 0, 1, 2, 0, 1]",
perikarderguss,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
perikarditis,"[1, 0, 0, 1, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
parodontitis,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
periphere neuropathie,"[1, 0, 0, 0, 5, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 1]",
peritonitis,"[0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
angina tonsillaris,"[3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 0, 3, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1]",
petechien,"[0, 0, 1, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
pharyngitis,"[1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
pleuraerguss,"[1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0]",
pleuritis,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
pneumonie,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
pneumothorax,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",
polyneuritis,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]",
polyuria,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",
polyurie,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",
,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
posterior rhinorrhea,"[1, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 1, 3, 1, 0, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
schwangerschaft,"[2, 0, 2, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0]",
proktitis,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
ptosis,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
prostatitis,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0]",
proteinurie,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
pruritus,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0]",
pruritus ani,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 1]",
pseudogicht,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
psoriasis,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0]",
psychosen,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",
lungenoedem,"[0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",
lungenemphysem,"[0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",
lungenfibrose,"[0, 1, 0, 0, 2, 1, 1, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
cor pulmonale,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",
lung nodule,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",
purpura,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]",
rale,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
raynaud,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",
hyperacusis,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 0]",
rektumprolaps,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
pupillenreflex,"[0, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 3, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",
nierenversagen,"[1, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0]",
niereninfarkt,"[1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 1, 0, 0, 3, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
respiratorische insuffizienz,"[1, 0, 1, 0, 3, 2, 0, 1, 5, 0, 0, 0, 0, 2, 1, 1, 0, 3, 3, 1, 1, 0, 0, 0, 0, 2, 1]",
atemwegsinfektion,"[1, 0, 0, 0, 3, 1, 1, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0]",
retinoide,"[0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
rhabdomyolyse,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0]",
rheologie,"[0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
rhinitis,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
rhonchus,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
rasselger aeusche lunge,"[2, 0, 1, 0, 5, 0, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 0, 0, 2]",
sciatica,"[2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
skoliose,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
skotom,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
dermatitis,"[1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
seizure,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]",
krampfanfaelle,"[3, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
sinnesorgane,"[1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
serositis,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0]",
schock,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
kreislaufschock,"[1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0]",
kardiogener schock,"[1, 0, 2, 1, 2, 0, 1, 1, 1, 0, 2, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1]",
hypersalivation,"[2, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]",
sinusitis,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0]",
sneeze,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
snore,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
schnarchen,"[1, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
soft tissue swelling,"[0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 4, 2, 1, 0, 1, 0, 0, 0, 2]",
